,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
62,Cornell,26,7,19,.269,-11.40,0.03,,1,13,,3,8,,4,11,,1455,1752,,1040,545,1455,.375,70,285,.246,295,418,.706,271,872,277,165,38,422,481
63,Creighton NCAA,32,26,6,.813,23.13,12.53,,15,3,,11,2,,10,3,,2350,2011,,1280,858,1925,.446,286,799,.358,348,421,.827,299,1138,554,208,119,346,476
64,Dartmouth,26,7,19,.269,-16.79,-3.29,,1,13,,4,9,,3,10,,1261,1519,,1040,475,1338,.355,130,443,.293,181,265,.683,229,859,270,144,66,414,280
65,Davidson,26,18,8,.692,8.52,-1.06,,8,7,,11,4,,7,4,,1689,1440,,1040,627,1433,.438,164,491,.334,271,374,.725,279,895,298,180,113,363,430
66,Dayton,31,12,19,.387,-8.26,0.50,,4,13,,7,7,,2,11,,1967,2135,,1245,755,1885,.401,137,474,.289,320,439,.729,460,1225,391,187,80,562,548
67,Delaware,31,11,20,.355,-4.73,-5.69,,7,11,,4,9,,6,7,,2090,2060,,1245,769,1861,.413,185,623,.297,367,514,.714,359,1205,404,241,84,545,552
68,Delaware State,28,8,20,.286,-25.10,-6.71,,4,10,,5,7,,3,12,,1611,1982,,1130,581,1609,.361,146,497,.294,303,452,.670,319,945,287,227,61,523,399
69,Denver,30,8,22,.267,-9.82,-3.58,,5,11,,5,10,,3,11,,1931,2090,,1200,670,1668,.402,247,821,.301,344,502,.685,258,965,378,191,71,415,504
70,DePaul,32,12,20,.375,7.58,7.74,,4,14,,9,8,,2,9,,2279,2284,,1290,854,2112,.404,233,775,.301,338,455,.743,408,1228,533,311,102,473,579
71,Detroit Mercy,33,17,16,.515,-9.19,-5.98,,9,11,,10,3,,6,13,,1988,2094,,1325,741,1780,.416,147,482,.305,359,510,.704,342,1242,353,205,105,628,541
72,Drake NCAA,35,29,6,.829,13.00,1.77,,19,1,,15,2,,11,3,,2843,2450,,1415,1031,2113,.488,289,866,.334,492,638,.771,352,1355,698,311,165,621,488
73,Drexel NCAA,34,19,15,.559,-2.47,-3.10,,10,8,,9,6,,6,8,,1945,1900,,1368,766,1910,.401,151,499,.303,262,360,.728,375,1114,521,234,77,460,470
74,Duke NCAA,34,22,12,.647,27.57,17.25,,11,7,,14,3,,6,7,,2318,1967,,1375,879,1984,.443,193,608,.317,365,476,.767,419,1302,493,286,194,581,601
75,Duquesne,34,21,13,.618,2.65,0.62,,13,5,,11,3,,8,7,,2346,2277,,1380,853,2011,.424,276,822,.336,364,522,.697,340,1277,449,202,139,513,552
76,East Carolina,33,19,14,.576,6.51,3.69,,9,9,,10,6,,6,5,,2166,2073,,1341,784,1992,.394,134,495,.271,464,651,.713,467,1234,412,350,175,568,615
77,East Tennessee State,30,18,12,.600,-5.47,-7.86,,7,7,,12,3,,5,8,,1783,1669,,1200,643,1609,.400,182,589,.309,315,457,.689,315,1065,303,204,74,409,424
78,Eastern Illinois,33,15,18,.455,-10.32,-8.20,,11,7,,8,4,,6,11,,2167,2237,,1350,804,1965,.409,185,630,.294,374,516,.725,404,1288,461,235,129,585,491
79,Eastern Kentucky,34,22,12,.647,-4.16,-6.90,,9,7,,11,3,,10,8,,2444,2177,,1360,885,2153,.411,189,598,.316,485,690,.703,456,1344,476,289,71,517,585
80,Eastern Michigan,29,7,22,.241,-16.22,-4.72,,3,15,,5,8,,2,14,,1661,1958,,1170,619,1671,.370,130,504,.258,293,417,.703,350,1057,287,238,108,542,527
81,Eastern Washington NCAA,35,29,6,.829,7.39,-3.31,,16,2,,12,2,,12,4,,2392,1965,,1405,903,2206,.409,246,758,.325,340,453,.751,423,1325,478,311,89,404,483
82,Elon,32,11,21,.344,-13.82,-4.76,,7,11,,2,11,,9,8,,1698,1963,,1280,655,1856,.353,138,538,.257,250,387,.646,393,1146,355,257,99,543,546
83,Evansville,32,4,28,.125,-19.89,-1.64,,2,18,,2,13,,2,14,,2011,2595,,1300,693,1920,.361,155,589,.263,470,660,.712,340,1140,390,189,75,588,592
84,Fairfield NCAA,33,31,2,.939,5.03,-10.10,,20,0,,13,0,,15,2,,2391,1820,,1330,892,1929,.462,292,877,.333,315,447,.705,362,1203,567,303,84,560,622
85,FDU,31,14,17,.452,-17.79,-13.52,,11,5,,9,6,,5,11,,1811,1891,,1245,651,1733,.376,223,714,.312,286,392,.730,368,1117,378,181,61,475,483
86,Florida,32,16,16,.500,15.36,12.01,,5,11,,8,6,,3,9,,2389,2282,,1285,885,2057,.430,198,613,.323,421,587,.717,376,1174,382,294,108,480,619
87,Florida A&M,30,9,21,.300,-16.65,-6.45,,8,10,,7,5,,2,15,,1795,2101,,1220,647,1716,.377,134,459,.292,367,503,.730,355,1028,293,264,69,593,622
88,Florida Atlantic,30,11,19,.367,-4.65,0.73,,6,12,,6,8,,5,9,,1831,1969,,1205,645,1623,.397,201,608,.331,340,538,.632,334,1092,327,189,74,515,453
89,Florida Gulf Coast NCAA,34,29,5,.853,14.08,-2.61,,16,0,,18,0,,9,3,,2546,1871,,1360,882,2007,.439,323,1025,.315,459,648,.708,419,1234,506,329,89,450,522
90,Florida International,33,21,12,.636,-3.05,-5.02,,11,5,,14,6,,7,5,,2263,2117,,1320,800,1954,.409,199,647,.308,464,654,.709,426,1284,401,284,109,600,630
91,Florida State NCAA,34,23,11,.676,19.85,12.79,,12,6,,13,3,,7,4,,2670,2430,,1380,970,2346,.413,241,766,.315,487,632,.771,392,1391,443,247,154,393,491
92,Fordham,29,12,17,.414,-2.91,-0.69,,7,10,,10,6,,2,10,,1811,1803,,1165,703,1742,.404,156,505,.309,249,383,.650,386,1082,356,281,106,473,463
93,Fresno State,33,15,18,.455,-4.30,-3.05,,7,11,,10,7,,3,10,,2121,2079,,1320,777,1964,.396,225,684,.329,342,468,.731,385,1125,374,293,75,442,491
94,Furman,31,15,16,.484,-12.29,-8.65,,5,9,,11,4,,3,10,,2051,1986,,1240,734,1833,.400,185,604,.306,398,563,.707,442,1268,404,195,67,518,499
95,Gardner-Webb,30,6,24,.200,-24.07,-9.64,,5,11,,4,9,,2,14,,1868,2301,,1198,683,1821,.375,226,771,.293,276,394,.701,336,1051,316,166,59,552,605
96,George Mason,31,23,8,.742,11.46,0.36,,14,4,,12,1,,11,6,,2204,1820,,1250,777,1968,.395,216,668,.323,434,599,.725,456,1231,376,285,95,409,516
97,George Washington,31,13,18,.419,-3.27,-1.51,,6,12,,10,5,,3,9,,1812,1804,,1240,651,1760,.370,213,690,.309,297,424,.700,395,1176,320,200,74,507,517
98,Georgetown,35,23,12,.657,9.13,6.39,,9,9,,9,5,,11,6,,2025,1929,,1405,771,1932,.399,160,554,.289,323,459,.704,412,1264,436,229,140,536,571
99,Georgia,30,12,18,.400,9.42,13.12,,3,13,,8,7,,1,9,,1895,2006,,1205,729,1799,.405,105,382,.275,332,483,.687,373,1156,401,232,88,486,488
100,Georgia Southern,33,15,18,.455,-6.29,-5.00,,4,14,,8,7,,5,10,,2385,2323,,1320,904,2306,.392,130,519,.250,447,675,.662,587,1522,420,331,159,599,650
101,Georgia State,30,15,15,.500,-4.69,-3.22,,9,9,,9,6,,6,8,,2094,2056,,1205,759,1880,.404,181,603,.300,395,555,.712,379,1148,408,284,94,467,549
102,Georgia Tech,33,17,16,.515,12.62,11.89,,7,11,,9,7,,6,7,,2234,2210,,1330,834,1998,.417,190,646,.294,376,535,.703,346,1218,502,205,59,443,492
103,Gonzaga NCAA,36,32,4,.889,26.30,6.64,,16,0,,16,0,,12,1,,2879,2171,,1449,1055,2195,.481,336,849,.396,433,542,.799,455,1376,702,277,118,477,512
104,Grambling,33,23,10,.697,-8.38,-8.52,,15,3,,12,2,,10,7,,2374,2116,,1335,860,2161,.398,163,562,.290,491,708,.694,496,1367,451,372,72,614,687
105,Grand Canyon,32,24,8,.750,6.31,-5.01,,16,4,,13,4,,11,3,,2223,1798,,1300,830,1861,.446,188,581,.324,375,518,.724,367,1152,481,325,73,488,533
106,Green Bay NCAA,34,27,7,.794,14.22,-0.81,,17,3,,14,1,,9,4,,2512,1977,,1360,941,1967,.478,227,664,.342,403,513,.786,310,1164,648,253,72,373,438
107,Hampton,29,3,26,.103,-19.82,-6.10,,3,15,,2,9,,1,14,,1580,1978,,1160,564,1659,.340,85,352,.241,367,566,.648,306,959,260,266,108,510,578
108,Harvard,28,16,12,.571,7.07,1.60,,9,5,,6,3,,8,9,,1929,1776,,1120,720,1674,.430,185,584,.317,304,406,.749,325,1003,405,198,95,387,507
109,Hawaii,31,20,11,.645,1.70,-1.53,,17,3,,13,3,,7,7,,1846,1746,,1246,626,1612,.388,225,709,.317,369,498,.741,268,1067,335,201,96,456,462
110,High Point,32,20,12,.625,-12.21,-8.81,,14,2,,12,5,,8,4,,2006,2045,,1295,703,1740,.404,223,733,.304,377,529,.713,212,1009,374,212,95,486,541
111,Hofstra,32,11,21,.344,-14.48,-9.22,,3,15,,6,10,,3,10,,1811,1885,,1285,655,1795,.365,186,613,.303,315,489,.644,449,1221,365,252,83,594,590
112,Holy Cross NCAA,34,21,13,.618,-3.52,-8.52,,11,7,,15,2,,5,11,,2139,1933,,1365,802,2009,.399,202,623,.324,333,456,.730,398,1345,508,176,127,431,531
113,Houston,30,14,16,.467,9.74,10.70,,5,13,,11,6,,3,9,,2030,2059,,1210,726,1939,.374,201,692,.290,377,517,.729,409,1062,328,335,120,463,569
114,Houston Christian,29,6,23,.207,-22.26,-4.34,,1,17,,5,8,,1,15,,1556,1886,,1160,569,1551,.367,142,496,.286,276,376,.734,237,986,303,208,118,518,464
115,Howard,31,15,16,.484,-7.69,-8.95,,10,4,,8,4,,5,8,,1827,1788,,1250,625,1772,.353,149,511,.292,428,626,.684,388,1193,326,281,99,510,549
116,Idaho,31,15,16,.484,-4.32,-4.97,,8,10,,4,11,,10,4,,1853,1773,,1245,672,1704,.394,201,607,.331,308,398,.774,282,1090,344,223,83,420,411
117,Idaho State,30,11,19,.367,-5.44,-1.81,,7,11,,8,5,,2,12,,1784,1850,,1205,671,1758,.382,115,396,.290,327,454,.720,380,1120,336,236,96,451,531
118,Illinois,34,19,15,.559,19.51,12.48,,8,10,,12,5,,4,7,,2533,2294,,1365,959,2095,.458,181,541,.335,434,546,.795,369,1252,481,220,87,422,517
119,Illinois State,34,22,12,.647,3.80,-0.90,,13,7,,14,2,,6,9,,2525,2332,,1370,873,1956,.446,243,693,.351,536,694,.772,309,1301,481,156,137,496,532
120,Illinois-Chicago,34,18,16,.529,-0.42,-3.36,,10,10,,8,5,,8,9,,2352,2252,,1375,842,1964,.429,149,544,.274,519,762,.681,407,1275,502,299,69,586,629
121,Incarnate Word,30,19,11,.633,-7.65,-8.84,,12,6,,11,4,,8,6,,1874,1722,,1225,655,1743,.376,169,658,.257,395,547,.722,411,1168,355,214,72,432,494
122,Indiana NCAA,32,26,6,.813,29.50,14.38,,15,3,,17,0,,7,4,,2544,2060,,1280,941,1867,.504,268,677,.396,394,536,.735,251,1127,591,205,139,417,500
123,Indiana State,32,11,21,.344,-9.41,-1.70,,6,14,,3,10,,6,9,,2054,2295,,1285,725,1884,.385,152,521,.292,452,602,.751,400,1190,372,263,110,569,631
124,Iona,30,11,19,.367,-16.45,-10.85,,6,14,,5,8,,6,10,,1729,1897,,1205,627,1595,.393,208,620,.335,267,367,.728,256,983,386,170,65,495,426
125,Iowa NCAA,39,34,5,.872,37.05,17.95,,15,3,,15,1,,8,3,,3548,2803,,1570,1260,2542,.496,426,1132,.376,602,772,.780,423,1611,811,290,131,538,562
126,Iowa State NCAA,33,21,12,.636,22.94,16.70,,11,6,,13,2,,5,7,,2487,2281,,1335,911,1946,.468,285,745,.383,380,524,.725,326,1347,620,158,99,541,462
127,IU Indy,30,7,23,.233,-13.09,-2.45,,5,15,,5,9,,2,13,,1934,2253,,1209,684,1703,.402,139,514,.270,427,629,.679,311,1075,393,186,123,559,541
128,Jackson State NCAA,33,26,7,.788,4.76,-4.55,,18,0,,11,0,,10,6,,2356,1898,,1320,801,2009,.399,175,616,.284,579,817,.709,526,1426,404,259,170,498,576
129,Jacksonville,31,11,20,.355,-9.98,-3.08,,6,10,,9,5,,2,15,,2025,2189,,1240,680,1665,.408,155,462,.335,510,731,.698,336,1026,262,270,64,645,642
130,Jacksonville State,29,12,17,.414,-9.51,-2.65,,7,9,,9,4,,3,12,,1712,1831,,1170,622,1733,.359,187,711,.263,281,407,.690,338,1079,335,199,71,458,444
131,James Madison,35,23,12,.657,4.99,1.20,,13,5,,12,4,,8,6,,2529,2327,,1409,941,2234,.421,193,632,.305,454,671,.677,530,1662,460,190,97,592,610
132,Kansas NCAA,33,20,13,.606,20.34,16.46,,11,7,,13,1,,4,9,,2249,2121,,1325,807,1836,.440,179,543,.330,456,636,.717,298,1138,356,235,131,442,559
133,Kansas City,32,12,20,.375,-11.22,-5.19,,3,13,,9,7,,2,10,,2064,2111,,1280,799,1935,.413,116,425,.273,350,552,.634,404,1192,394,237,123,513,696
134,Kansas State NCAA,34,26,8,.765,28.15,14.42,,12,5,,16,2,,6,4,,2437,1970,,1375,925,2027,.456,218,694,.314,369,537,.687,319,1297,631,294,178,480,526
135,Kennesaw State,30,11,19,.367,-10.85,-2.50,,7,9,,7,7,,3,11,,1766,1926,,1210,657,1729,.380,97,365,.266,355,536,.662,417,1122,296,252,100,529,545
136,Kent State NCAA,32,21,11,.656,4.22,-0.65,,12,5,,9,3,,8,7,,2296,2008,,1290,849,1997,.425,215,677,.318,383,532,.720,400,1293,450,238,119,432,481
137,Kentucky,32,12,20,.375,4.28,14.28,,4,12,,10,7,,1,9,,2060,2380,,1285,757,1924,.393,154,527,.292,392,618,.634,373,1094,371,210,98,529,536
138,La Salle,30,8,22,.267,-12.79,0.38,,5,13,,3,11,,5,10,,1729,2124,,1205,627,1788,.351,237,841,.282,238,371,.642,333,1004,350,263,64,494,503
139,Lafayette,30,10,20,.333,-17.23,-9.47,,5,13,,3,9,,7,11,,1676,1909,,1209,647,1595,.406,151,459,.329,231,333,.694,241,973,340,181,78,463,416
140,Lamar,31,24,7,.774,0.70,-5.58,,17,1,,11,1,,11,4,,2066,1786,,1240,769,1820,.423,131,480,.273,397,553,.718,411,1183,400,260,61,424,508
141,Le Moyne,33,18,15,.545,-13.65,-10.38,,14,2,,9,3,,9,12,,1911,2019,,1325,694,1876,.370,153,536,.285,370,508,.728,398,1166,384,298,108,489,457
142,Lehigh,30,17,13,.567,-9.17,-11.44,,9,9,,9,5,,7,7,,2065,1963,,1210,712,1678,.424,245,786,.312,396,512,.773,246,1067,457,207,110,483,400
143,Liberty,34,18,16,.529,1.78,4.12,,11,5,,10,5,,6,7,,2234,2267,,1370,833,1968,.423,230,684,.336,338,469,.721,427,1345,486,163,143,547,589
144,Lindenwood,28,7,21,.250,-17.44,-8.22,,5,13,,6,7,,1,14,,1815,2019,,1130,669,1655,.404,156,563,.277,321,494,.650,299,844,326,238,67,408,589
145,Lipscomb,30,17,13,.567,-5.74,-4.99,,10,6,,8,6,,9,7,,2037,1983,,1215,728,1830,.398,218,699,.312,363,532,.682,337,1188,349,193,100,430,494
146,Little Rock,30,12,18,.400,-7.98,-2.95,,11,7,,6,8,,5,9,,1669,1820,,1210,636,1598,.398,94,317,.297,303,478,.634,258,916,338,230,76,440,560
147,Long Beach State,33,15,18,.455,-4.52,-2.30,,8,12,,8,8,,5,9,,2242,2293,,1333,813,2001,.406,207,676,.306,409,591,.692,411,1277,398,352,93,668,613
