,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
299,Tennessee NCAA,33,20,13,.606,24.54,17.97,,10,6,,11,4,,5,6,,2518,2301,,1325,915,2103,.435,223,695,.321,465,624,.745,433,1428,506,159,104,494,485
300,Tennessee State,30,11,19,.367,-15.23,-8.26,,7,11,,8,5,,1,12,,1862,2044,,1230,700,1820,.385,96,379,.253,366,533,.687,386,1035,299,298,77,558,565
301,Tennessee Tech,31,16,15,.516,-6.82,-7.02,,10,8,,8,6,,6,7,,2168,2074,,1249,760,1837,.414,235,688,.342,413,537,.769,375,1076,523,307,111,489,598
302,Tennessee-Martin NCAA,33,16,17,.485,-6.89,-6.04,,11,7,,6,8,,8,7,,2086,2085,,1325,739,1704,.434,196,552,.355,412,532,.774,274,1078,392,268,98,552,445
303,Texas NCAA,38,33,5,.868,36.47,14.05,,14,4,,17,2,,9,2,,3043,2191,,1520,1162,2369,.491,148,405,.365,571,804,.710,547,1524,613,334,173,519,655
304,Texas A&M NCAA,32,19,13,.594,21.26,11.60,,6,10,,12,5,,5,6,,2188,1879,,1280,841,2060,.408,167,599,.279,339,497,.682,465,1348,485,273,129,456,529
305,Texas A&M-Commerce,31,15,16,.484,-12.61,-6.06,,8,10,,9,5,,4,10,,2137,2248,,1245,773,2020,.383,226,672,.336,365,506,.721,306,1204,354,221,96,421,499
306,Texas A&M-Corpus Christi NCAA,32,23,9,.719,-2.34,-6.63,,14,4,,14,3,,7,6,,2139,1854,,1291,753,1887,.399,156,600,.260,477,690,.691,405,1289,473,354,112,523,514
307,Texas Southern,28,6,22,.214,-21.83,-5.91,,5,12,,4,9,,2,13,,1638,2026,,1120,581,1650,.352,146,581,.251,330,476,.693,344,1044,292,205,112,576,527
308,Texas State,32,14,18,.438,-5.12,-3.96,,4,14,,6,9,,6,8,,2076,2031,,1285,736,1800,.409,177,548,.323,427,577,.740,374,1085,375,274,75,575,580
309,Texas Tech,33,17,16,.515,13.06,11.03,,5,13,,13,5,,1,8,,2141,2074,,1319,738,1842,.401,220,689,.319,445,583,.763,374,1116,425,247,82,544,555
310,Texas-Rio Grande Valley,29,6,23,.207,-14.82,-3.40,,5,15,,3,11,,3,12,,1727,2058,,1165,577,1701,.339,190,700,.271,383,522,.734,303,1022,339,176,94,437,473
311,Toledo,34,28,6,.824,11.32,-0.41,,17,1,,15,1,,10,4,,2472,2043,,1365,904,2042,.443,228,694,.329,436,588,.741,370,1269,556,244,99,442,516
312,Towson,31,20,11,.645,-3.36,-4.78,,10,7,,9,4,,7,6,,2072,2028,,1260,754,1992,.379,197,649,.304,367,512,.717,406,1242,359,227,111,431,530
313,Troy,34,22,12,.647,6.03,0.21,,15,3,,11,5,,9,6,,2749,2551,,1370,1060,2528,.419,165,573,.288,464,654,.709,581,1628,524,318,104,482,610
314,Tulane,32,12,20,.375,1.29,2.48,,3,15,,8,8,,2,9,,2060,2098,,1305,751,1795,.418,231,726,.318,327,426,.768,341,1121,506,231,92,537,472
315,Tulsa,35,25,10,.714,7.38,3.44,,13,5,,15,2,,6,6,,2480,2342,,1405,872,2073,.421,316,930,.340,420,611,.687,321,1325,495,233,164,553,620
316,UAB,32,18,14,.563,0.06,-1.78,,9,9,,11,5,,6,7,,2302,2234,,1290,809,1922,.421,271,760,.357,413,540,.765,329,1151,445,204,89,452,478
317,UC Davis,34,20,14,.588,-3.04,-2.36,,13,7,,12,2,,5,11,,2106,2039,,1365,779,1885,.413,287,866,.331,261,370,.705,284,1220,486,244,116,557,545
318,UC Irvine NCAA,32,23,9,.719,2.85,-4.46,,15,4,,10,2,,10,6,,2015,1781,,1290,745,1880,.396,140,544,.257,385,533,.722,429,1164,381,330,82,469,533
319,UC Riverside,32,18,14,.563,-5.02,-3.29,,13,7,,11,3,,7,10,,1868,1865,,1289,681,1880,.362,164,597,.275,342,469,.729,360,1067,369,353,59,452,496
320,UC San Diego,31,12,19,.387,-6.49,-3.07,,8,12,,7,9,,5,9,,1811,1800,,1260,642,1744,.368,182,652,.279,345,486,.710,370,1187,349,232,94,515,480
321,UC Santa Barbara,31,16,15,.516,-5.66,-4.76,,10,10,,11,4,,4,9,,2012,1943,,1250,724,1741,.416,221,628,.352,343,458,.749,323,1159,420,144,65,494,483
322,UCF,29,12,17,.414,10.92,12.20,,3,15,,8,8,,1,8,,1860,1873,,1165,653,1628,.401,137,448,.306,417,558,.747,358,1075,320,212,73,537,519
323,UCLA NCAA,34,27,7,.794,34.00,17.82,,13,5,,16,1,,7,4,,2629,2079,,1376,979,2196,.446,238,743,.320,433,581,.745,510,1482,601,264,158,512,600
324,UNC Asheville,31,11,20,.355,-20.00,-15.72,,4,12,,7,7,,3,11,,1845,1876,,1255,686,1873,.366,127,533,.238,346,493,.702,410,1192,314,185,63,487,549
325,UNC Greensboro,33,21,12,.636,-6.19,-7.99,,8,6,,15,1,,4,10,,2093,1853,,1320,798,1963,.407,159,557,.285,338,520,.650,464,1285,387,233,138,434,512
326,UNC Wilmington,30,5,25,.167,-25.58,-5.45,,3,15,,3,11,,2,13,,1635,2183,,1205,582,1738,.335,103,459,.224,368,502,.733,339,1041,285,220,85,571,439
327,UT Arlington,33,17,16,.515,-4.76,-3.00,,11,9,,7,6,,7,8,,2306,2364,,1320,845,2005,.421,177,557,.318,439,626,.701,360,1224,518,251,135,489,604
328,Utah NCAA,34,23,11,.676,28.68,15.46,,11,7,,12,3,,8,6,,2630,2107,,1370,974,2059,.473,348,966,.360,334,446,.749,364,1273,660,274,82,470,508
329,Utah State,30,5,25,.167,-20.59,-1.20,,2,16,,2,13,,3,11,,1686,2219,,1200,584,1608,.363,147,517,.284,371,522,.711,287,1027,268,200,107,536,498
330,Utah Tech,32,18,14,.563,-5.08,-5.88,,12,8,,11,5,,7,8,,2343,2187,,1280,853,1942,.439,327,945,.346,310,421,.736,237,1220,455,201,92,420,416
331,Utah Valley,29,10,19,.345,-13.39,-6.31,,5,15,,8,6,,2,13,,1735,1899,,1180,629,1674,.376,166,586,.283,311,504,.617,319,983,435,326,98,488,581
332,UTEP,31,12,19,.387,-5.92,-0.27,,6,10,,10,5,,1,9,,2077,2216,,1250,767,1778,.431,141,446,.316,402,594,.677,341,1110,355,217,67,504,539
333,UTSA,33,18,15,.545,3.12,1.97,,10,8,,10,4,,7,10,,2132,2094,,1345,824,2073,.397,162,554,.292,322,494,.652,523,1467,446,215,152,565,645
334,Valparaiso,30,5,25,.167,-14.11,-3.11,,4,16,,2,10,,3,13,,1853,2183,,1205,637,1613,.395,230,727,.316,349,496,.704,236,881,341,272,93,548,623
335,Vanderbilt NCAA,33,23,10,.697,16.42,10.27,,9,7,,12,5,,8,3,,2260,2057,,1320,825,2018,.409,212,662,.320,398,560,.711,436,1242,487,334,115,484,540
336,Vermont,37,25,12,.676,0.09,-6.25,,12,4,,16,3,,9,6,,2199,1955,,1480,860,1943,.443,184,585,.315,295,413,.714,312,1180,486,196,143,457,481
337,Villanova,35,22,13,.629,17.27,12.07,,11,7,,13,4,,8,7,,2269,2087,,1410,876,2149,.408,212,721,.294,305,406,.751,419,1234,518,237,168,384,504
338,Virginia,32,16,16,.500,15.60,12.26,,7,11,,10,8,,5,6,,2319,2212,,1285,835,2099,.398,218,700,.311,431,558,.772,448,1317,503,258,142,465,601
339,Virginia Commonwealth,32,26,6,.813,9.15,-0.05,,15,3,,14,1,,8,4,,2025,1701,,1280,723,1755,.412,177,493,.359,402,562,.715,424,1266,338,259,86,495,478
340,Virginia Tech NCAA,33,25,8,.758,26.88,13.40,,14,4,,16,1,,6,5,,2482,2037,,1325,924,2044,.452,298,852,.350,336,435,.772,387,1337,552,132,185,415,516
341,Wagner,28,7,21,.250,-29.80,-16.39,,4,12,,5,7,,2,12,,1548,1877,,1132,560,1517,.369,111,408,.272,317,465,.682,306,931,264,271,73,571,528
342,Wake Forest,32,7,25,.219,6.05,14.11,,2,16,,3,13,,2,10,,1904,2162,,1280,688,1795,.383,204,679,.300,324,447,.725,297,978,403,258,68,476,549
343,Washington,31,16,15,.516,18.65,13.48,,6,12,,10,7,,4,7,,1990,1830,,1270,762,1812,.421,208,654,.318,258,371,.695,319,1106,407,219,134,423,427
344,Washington State,36,21,15,.583,21.88,14.57,,7,11,,12,6,,7,6,,2487,2224,,1450,953,2132,.447,225,658,.342,356,464,.767,349,1291,551,238,186,451,459
345,Weber State,33,8,25,.242,-12.14,-1.80,,4,14,,4,8,,3,15,,1882,2199,,1320,686,1817,.378,166,552,.301,344,489,.703,337,1149,346,246,76,521,505
346,West Virginia NCAA,33,25,8,.758,27.52,11.67,,12,6,,14,2,,6,5,,2431,1908,,1325,878,1965,.447,230,715,.322,445,646,.689,336,1053,474,449,110,493,575
347,Western Carolina,30,6,24,.200,-22.90,-7.38,,1,13,,4,12,,2,11,,1705,1992,,1200,653,1600,.408,116,444,.261,283,422,.671,294,1020,377,153,69,533,502
348,Western Illinois,30,18,12,.600,-9.34,-10.99,,9,9,,13,4,,5,7,,2230,1995,,1220,759,1795,.423,216,628,.344,496,654,.758,344,1228,425,212,82,478,538
349,Western Kentucky,32,15,17,.469,-1.37,-0.40,,6,10,,9,5,,4,9,,2060,2032,,1285,747,1908,.392,214,724,.296,352,507,.694,344,1058,404,343,103,474,562
350,Western Michigan,30,12,18,.400,-8.61,-4.54,,7,11,,7,7,,4,9,,1866,1971,,1205,668,1649,.405,237,705,.336,293,421,.696,252,884,388,260,45,479,536
351,Wichita State,32,10,22,.313,-3.74,2.11,,5,13,,6,10,,2,10,,2049,2236,,1290,744,1948,.382,157,558,.281,404,608,.664,415,1228,398,230,71,530,570
352,William & Mary,29,15,14,.517,-4.06,-4.71,,11,6,,6,7,,8,6,,1833,1814,,1165,649,1662,.390,149,518,.288,386,521,.741,289,1031,409,249,82,483,522
353,Winthrop,30,14,16,.467,-19.34,-12.78,,8,8,,8,6,,5,8,,1703,1807,,1220,611,1660,.368,137,528,.259,344,494,.696,382,1095,310,275,71,574,522
354,Wisconsin,32,15,17,.469,6.95,12.11,,6,12,,9,8,,5,7,,2007,2172,,1279,715,1776,.403,190,672,.283,387,524,.739,331,1160,450,232,143,591,511
355,Wofford,30,17,13,.567,-4.50,-6.31,,8,6,,13,2,,3,10,,1999,1834,,1200,723,1888,.383,233,750,.311,320,416,.769,328,1143,356,224,73,362,459
356,Wright State,33,18,15,.545,-4.46,-1.85,,11,9,,11,5,,6,8,,2316,2336,,1340,817,1970,.415,262,799,.328,420,535,.785,289,1127,450,262,134,455,539
357,Wyoming,33,18,15,.545,5.22,2.56,,11,7,,12,5,,5,8,,2104,1973,,1324,808,1778,.454,193,647,.298,295,389,.758,252,1115,479,186,107,438,494
358,Xavier,28,1,27,.036,-13.59,8.34,,0,18,,1,12,,0,13,,1420,2034,,1125,528,1462,.361,171,595,.287,193,285,.677,212,782,294,189,47,533,462
359,Yale,27,8,19,.296,-8.66,-0.95,,5,9,,5,8,,3,11,,1638,1846,,1085,628,1610,.390,106,390,.272,276,407,.678,343,938,334,203,83,401,493
360,Youngstown State,32,14,18,.438,-7.94,-4.29,,9,11,,9,7,,5,9,,1938,2005,,1280,707,1782,.397,215,735,.293,309,404,.765,304,1094,476,225,120,530,533


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="https://www.sports-reference.com/cbb/seasons/women/2024-school-stats.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#basic_school_stats">View Original Table</a><br>Generated 9/13/2024.
